Fecha,Demanda
2023-10-18-00:00:03,552.65
2023-10-18-00:00:03,548.79
2023-10-18-00:00:04,554.1
2023-10-18-00:00:05,555.46
2023-10-18-00:00:06,554.56
2023-10-18-00:00:07,561.22
2023-10-18-00:00:08,555.42
2023-10-18-00:00:09,547.62
2023-10-18-00:00:10,538.92
2023-10-18-00:00:11,538.38
2023-10-18-00:00:12,549.48
2023-10-18-00:00:13,542.88
2023-10-18-00:00:14,558.36
2023-10-18-00:00:15,547.4
2023-10-18-00:00:16,544.74
2023-10-18-00:00:19,547.35
2023-10-18-00:00:19,547.35
2023-10-18-00:00:20,544.58
2023-10-18-00:00:21,542.38
2023-10-18-00:00:22,552.91
2023-10-18-00:00:23,541.72
2023-10-18-00:00:24,542.47
2023-10-18-00:00:25,542.57
2023-10-18-00:00:26,541.62
2023-10-18-00:00:27,542.3
2023-10-18-00:00:28,541.05
2023-10-18-00:00:29,545.03
2023-10-18-00:00:30,542.8
2023-10-18-00:00:31,543.5
2023-10-18-00:00:32,539.92
2023-10-18-00:00:36,557.23
2023-10-18-00:00:36,557.23
2023-10-18-00:00:37,540.07
2023-10-18-00:00:38,541.19
2023-10-18-00:00:39,540.17
2023-10-18-00:00:40,543.03
2023-10-18-00:00:41,538.94
2023-10-18-00:00:42,539.83
2023-10-18-00:00:43,553.89
2023-10-18-00:00:44,552.75
2023-10-18-00:00:45,540.64
2023-10-18-00:00:46,537.7
2023-10-18-00:00:47,539.8
2023-10-18-00:00:49,541.97
2023-10-18-00:00:49,541.97
2023-10-18-00:00:50,542.97
2023-10-18-00:00:51,541.38
2023-10-18-00:00:52,540.29
2023-10-18-00:00:53,542.41
2023-10-18-00:00:54,540.52
2023-10-18-00:00:55,559.04
2023-10-18-00:00:56,540.23
2023-10-18-00:00:57,544.39
2023-10-18-00:00:58,545.42
2023-10-18-00:00:59,556.19
2023-10-18-00:01:00,538.65
2023-10-18-00:01:01,540.67
2023-10-18-00:01:03,546.23
2023-10-18-00:01:04,543.17
2023-10-18-00:01:04,551.35
2023-10-18-00:01:05,566.42
2023-10-18-00:01:06,542.67
2023-10-18-00:01:07,543.01
2023-10-18-00:01:08,540.69
2023-10-18-00:01:09,540.6
2023-10-18-00:01:10,540.23
2023-10-18-00:01:11,541.74
2023-10-18-00:01:12,539.2
2023-10-18-00:01:13,539.49
2023-10-18-00:01:14,550.39
2023-10-18-00:01:15,539.51
2023-10-18-00:01:16,538.81
2023-10-18-00:01:19,544.36
2023-10-18-00:01:19,544.36
2023-10-18-00:01:20,540.98
2023-10-18-00:01:21,540.02
2023-10-18-00:01:22,538.11
2023-10-18-00:01:23,545.29
2023-10-18-00:01:24,544.34
2023-10-18-00:01:25,540.62
2023-10-18-00:01:26,537.29
2023-10-18-00:01:27,541.01
2023-10-18-00:01:28,538.61
2023-10-18-00:01:29,541.38
2023-10-18-00:01:30,538.53
2023-10-18-00:01:31,537.9
2023-10-18-00:01:35,537.38
2023-10-18-00:01:35,537.38
2023-10-18-00:01:43,537.88
2023-10-18-00:01:44,536.88
2023-10-18-00:01:45,538.72
2023-10-18-00:01:46,541.93
2023-10-18-00:01:47,542.99
2023-10-18-00:01:49,547.27
2023-10-18-00:01:49,547.27
2023-10-18-00:01:50,536.93
2023-10-18-00:01:51,551.04
2023-10-18-00:01:52,538.19
2023-10-18-00:01:53,540.07
2023-10-18-00:01:54,537.61
2023-10-18-00:01:55,540.46
2023-10-18-00:01:56,538.84
2023-10-18-00:01:57,538.42
2023-10-18-00:01:58,538.12
2023-10-18-00:01:59,543.36
2023-10-18-00:02:00,541.28
2023-10-18-00:02:01,555.24
2023-10-18-00:02:02,540.17
2023-10-18-00:02:06,536.13
2023-10-18-00:02:07,536.04
2023-10-18-00:02:08,541.66
2023-10-18-00:02:09,535.22
2023-10-18-00:02:10,537.54
2023-10-18-00:02:11,536.53
2023-10-18-00:02:11,538.79
2023-10-18-00:02:13,539.61
2023-10-18-00:02:13,536.06
2023-10-18-00:02:14,542.12
2023-10-18-00:02:15,537.42
2023-10-18-00:02:16,541.83
2023-10-18-00:02:21,538.73
2023-10-18-00:02:21,538.73
2023-10-18-00:02:22,538.85
2023-10-18-00:02:23,537.07
2023-10-18-00:02:24,537.54
2023-10-18-00:02:25,537.6
2023-10-18-00:02:26,542.63
2023-10-18-00:02:27,543.7
2023-10-18-00:02:28,546.52
2023-10-18-00:02:29,546.21
2023-10-18-00:02:30,557.71
2023-10-18-00:02:31,544.06
2023-10-18-00:02:34,543.93
2023-10-18-00:02:34,542.26
2023-10-18-00:02:35,547.5
2023-10-18-00:02:36,546.46
2023-10-18-00:02:37,538.96
2023-10-18-00:02:38,538.45
2023-10-18-00:02:39,541.29
2023-10-18-00:02:40,543.39
2023-10-18-00:02:41,546.06
2023-10-18-00:02:42,542.33
2023-10-18-00:02:43,547.32
2023-10-18-00:02:44,543.7
2023-10-18-00:02:45,545.38
2023-10-18-00:02:46,542.46
2023-10-18-00:02:47,539.97
2023-10-18-00:02:49,545.65
2023-10-18-00:02:49,545.65
2023-10-18-00:02:50,542.26
2023-10-18-00:02:51,545.77
2023-10-18-00:02:52,547.95
2023-10-18-00:02:53,554.78
2023-10-18-00:02:54,547.96
2023-10-18-00:02:55,542.43
2023-10-18-00:02:56,542.77
2023-10-18-00:02:57,539.73
2023-10-18-00:02:58,536.24
2023-10-18-00:03:05,542.39
2023-10-18-00:03:05,538.79
2023-10-18-00:03:06,537.67
2023-10-18-00:03:07,555.95
2023-10-18-00:03:08,545.79
2023-10-18-00:03:09,543.01
2023-10-18-00:03:10,538.76
2023-10-18-00:03:11,541.47
2023-10-18-00:03:12,553.21
2023-10-18-00:03:13,543.51
2023-10-18-00:03:14,547.28
2023-10-18-00:03:15,540.75
2023-10-18-00:03:16,540.96
2023-10-18-00:03:17,547.7
2023-10-18-00:03:19,541.99
2023-10-18-00:03:19,541.99
2023-10-18-00:03:20,543.67
2023-10-18-00:03:21,544.43
2023-10-18-00:03:22,541.35
2023-10-18-00:03:25,537.82
2023-10-18-00:03:25,537.82
2023-10-18-00:03:26,539.05
2023-10-18-00:03:27,539.61
2023-10-18-00:03:28,538.69
2023-10-18-00:03:29,541.33
2023-10-18-00:03:30,538.03
2023-10-18-00:03:31,537.96
2023-10-18-00:03:33,544.1
2023-10-18-00:03:33,544.1
2023-10-18-00:03:35,546.93
2023-10-18-00:03:35,544.4
2023-10-18-00:03:36,543.89
2023-10-18-00:03:37,543.67
2023-10-18-00:03:38,540.25
2023-10-18-00:03:39,544.01
2023-10-18-00:03:40,542.7
2023-10-18-00:03:41,538.13
2023-10-18-00:03:42,529.89
2023-10-18-00:03:43,534.18
2023-10-18-00:03:44,530.12
2023-10-18-00:03:45,533.07
2023-10-18-00:03:46,526.47
2023-10-18-00:03:48,527.7
2023-10-18-00:03:48,527.7
2023-10-18-00:03:49,531.79
2023-10-18-00:03:50,530.01
2023-10-18-00:03:51,533.34
2023-10-18-00:03:52,529.32
2023-10-18-00:03:53,534.78
2023-10-18-00:03:54,530.51
2023-10-18-00:03:55,528.9
2023-10-18-00:03:56,530.51
2023-10-18-00:03:57,530.19
2023-10-18-00:03:58,536.94
2023-10-18-00:03:59,532.84
2023-10-18-00:04:00,535.86
2023-10-18-00:04:01,543.22
2023-10-18-00:04:04,543.34
2023-10-18-00:04:04,543.34
2023-10-18-00:04:05,540.53
2023-10-18-00:04:06,541.43
2023-10-18-00:04:07,539
2023-10-18-00:04:08,541.38
2023-10-18-00:04:09,542.16
2023-10-18-00:04:10,546.48
2023-10-18-00:04:11,541.18
2023-10-18-00:04:12,541.31
2023-10-18-00:04:13,545.59
2023-10-18-00:04:14,554.01
2023-10-18-00:04:15,562.49
2023-10-18-00:04:16,562.76
2023-10-18-00:04:17,541.6
2023-10-18-00:04:19,544.17
2023-10-18-00:04:19,544.17
2023-10-18-00:04:20,543.29
2023-10-18-00:04:21,547.58
2023-10-18-00:04:22,545.49
2023-10-18-00:04:23,542.41
2023-10-18-00:04:24,539.11
2023-10-18-00:04:25,544.05
2023-10-18-00:04:26,540.08
2023-10-18-00:04:27,539.3
2023-10-18-00:04:28,541.39
2023-10-18-00:04:29,542.46
2023-10-18-00:04:30,537.92
2023-10-18-00:04:31,538.83
2023-10-18-00:04:35,541.76
2023-10-18-00:04:35,541.76
2023-10-18-00:04:36,539.19
2023-10-18-00:04:37,539.09
2023-10-18-00:04:38,542.88
2023-10-18-00:04:39,530.62
2023-10-18-00:04:40,530.64
2023-10-18-00:04:41,531.33
2023-10-18-00:04:42,531.99
2023-10-18-00:04:43,530.81
2023-10-18-00:04:44,523.28
2023-10-18-00:04:45,538.11
2023-10-18-00:04:46,542.4
