Meses,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Demanda:,681.3251595238096,615.3904666666667,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096
Generación FV:,547.1292167,518.7623314,581.921666,552.8416561,546.5378938,510.9867321,535.0460893,556.3643217,550.1854449,566.9877323,529.714402,529.2138027
Consumo de la red:,109.91499322166582,99.27805839376268,109.91499322166582,106.36934827903144,109.91499322166582,106.36934827903144,109.91499322166582,109.91499322166582,106.36934827903144,109.91499322166582,106.36934827903144,109.91499322166582
Consumo de batería:,297.52671957591485,268.7338112298586,297.52671957591485,287.92908346056277,297.52671957591485,287.92908346056277,297.52671957591485,297.52671957591485,287.92908346056277,297.52671957591485,287.92908346056277,297.52671957591485
