Meses,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Demanda:,681.3251595238096,615.3904666666667,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096
Generación FV:,68.39115209,64.84529142,72.74020825,69.10520701,68.31723672,63.87334151,66.88076117,69.54554021,68.77318061,70.87346653,66.21430025,66.15172534
Consumo de la red:,612.9340074338096,550.5451752466668,608.5849512738096,590.2417215614287,613.0079228038096,595.4735870614286,614.4443983538096,611.7796193138096,590.5737479614286,610.4516929938096,593.1326283214287,615.1734341838096
