Meses,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dec
Demanda:,681.3251595238096,615.3904666666667,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096
Generación FV:,645.976089293474,612.484312402243,687.054301938548,652.720564168167,645.277935201967,603.303937672047,631.709968708912,656.879650653309,649.584469635238,669.422335282484,625.415034341556,624.823994475444
Consumo de la red:,35.34907023033554,2.906154264423776,0.0,6.6263644032616185,36.04722432184258,56.04299089938161,49.61519081489757,24.44550887050059,9.762458936190685,11.90282424132556,33.93189422987268,56.50116504836558
Demanda:,681.3251595238096,615.3904666666667,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096
Generación FV:,80.74701116,76.56053905,85.88178774,81.59007052,80.6597419,75.41299221,78.96374609,82.10995633,81.1980587,83.67779191,78.17687929,78.10299931
Consumo de la red:,600.5781483638095,538.8299276166667,595.4433717838097,577.7568580514286,600.6654176238096,583.9339363614287,602.3614134338096,599.2152031938095,578.1488698714286,597.6473676138096,581.1700492814286,603.2221602138096
Demanda:,681.3251595238096,615.3904666666667,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096
Generación FV:,645.976089293474,612.484312402243,687.054301938548,652.720564168167,645.277935201967,603.303937672047,631.709968708912,656.879650653309,649.584469635238,669.422335282484,625.415034341556,624.823994475444
Consumo de la red:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumo de batería:,428.6826822838395,387.1972614176615,428.6826822838395,414.85420866178015,428.6826822838395,414.85420866178015,428.6826822838395,428.6826822838395,414.85420866178015,428.6826822838395,414.85420866178015,428.6826822838395
Demanda:,681.3251595238096,615.3904666666667,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096
Generación FV:,645.976089293474,612.484312402243,687.054301938548,652.720564168167,645.277935201967,603.303937672047,631.709968708912,656.879650653309,649.584469635238,669.422335282484,625.415034341556,624.823994475444
Consumo de la red:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumo de batería:,428.6826822838395,387.1972614176615,428.6826822838395,414.85420866178015,428.6826822838395,414.85420866178015,428.6826822838395,428.6826822838395,414.85420866178015,428.6826822838395,414.85420866178015,428.6826822838395
Demanda:,681.3251595238096,615.3904666666667,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096
Generación FV:,645.976089293474,612.484312402243,687.054301938548,652.720564168167,645.277935201967,603.303937672047,631.709968708912,656.879650653309,649.584469635238,669.422335282484,625.415034341556,624.823994475444
Consumo de la red:,428.6826822838395,387.1972614176615,428.6826822838395,414.85420866178015,428.6826822838395,414.85420866178015,428.6826822838395,428.6826822838395,414.85420866178015,428.6826822838395,414.85420866178015,428.6826822838395
Consumo de batería:,323.6625622040596,292.34037876495705,323.6625622040596,313.2218343910254,323.6625622040596,313.2218343910254,323.6625622040596,323.6625622040596,313.2218343910254,323.6625622040596,313.2218343910254,323.6625622040596
