Meses,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Demanda:,681.3251595238096,615.3904666666667,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096
Generación FV:,547.1292167,518.7623314,581.921666,552.8416561,546.5378938,510.9867321,535.0460893,556.3643217,550.1854449,566.9877323,529.714402,529.2138027
Consumo de la red:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumo de batería:,395.09934769500234,356.8639269503247,395.09934769500234,382.35420744677646,395.09934769500234,382.35420744677646,395.09934769500234,395.09934769500234,382.35420744677646,395.09934769500234,382.35420744677646,395.09934769500234
