Meses,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Demanda:,681.3251595238096,615.3904666666667,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096
Generación FV:,683.9115209,648.4529142,727.4020825,691.0520701,683.1723672,638.7334151,668.8076117,695.4554021,687.7318061,708.7346653,662.1430025,661.5172534
Consumo de la red:,0,0,0,0,0,20.613513471428632,12.517547823809537,0,0,0,0,19.80790612380963
