 Time,Values
Phase A,
02/10/2023 00:00,"8754.880000000001"
03/10/2023 00:00,"12753.699999999999"
04/10/2023 00:00,"10252.369999999999"
05/10/2023 00:00,"8593.64"
06/10/2023 00:00,"9077.41"
07/10/2023 00:00,"9808.09"
08/10/2023 00:00,"9715.75"
Phase B,
02/10/2023 00:00,"14538.130000000001"
03/10/2023 00:00,"19036.84"
04/10/2023 00:00,"17298.19"
05/10/2023 00:00,"14671.120000000003"
06/10/2023 00:00,"15829.25"
07/10/2023 00:00,"14156.999999999998"
08/10/2023 00:00,"15309.439999999999"
Phase C,
02/10/2023 00:00,"0"
03/10/2023 00:00,"0"
04/10/2023 00:00,"0"
05/10/2023 00:00,"0"
06/10/2023 00:00,"0"
07/10/2023 00:00,"0"
08/10/2023 00:00,"0"
Total,
02/10/2023 00:00,"23293.010000000002"
03/10/2023 00:00,"31790.54"
04/10/2023 00:00,"27550.559999999998"
05/10/2023 00:00,"23264.760000000002"
06/10/2023 00:00,"24906.66"
07/10/2023 00:00,"23965.089999999997"
08/10/2023 00:00,"25025.19"
Phase A Returned,
02/10/2023 00:00,"0"
03/10/2023 00:00,"0"
04/10/2023 00:00,"0"
05/10/2023 00:00,"0"
06/10/2023 00:00,"0"
07/10/2023 00:00,"0"
08/10/2023 00:00,"0"
Phase B Returned,
02/10/2023 00:00,"0"
03/10/2023 00:00,"0"
04/10/2023 00:00,"0"
05/10/2023 00:00,"0"
06/10/2023 00:00,"0"
07/10/2023 00:00,"0"
08/10/2023 00:00,"0"
Phase C Returned,
02/10/2023 00:00,"0"
03/10/2023 00:00,"0"
04/10/2023 00:00,"0"
05/10/2023 00:00,"0"
06/10/2023 00:00,"0"
07/10/2023 00:00,"0"
08/10/2023 00:00,"0"
Total Returned,
02/10/2023 00:00,"0"
03/10/2023 00:00,"0"
04/10/2023 00:00,"0"
05/10/2023 00:00,"0"
06/10/2023 00:00,"0"
07/10/2023 00:00,"0"
08/10/2023 00:00,"0"
