Fecha,Demanda
2023-10-20-00:00:03,369.74
2023-10-20-00:00:04,364.59
2023-10-20-00:00:05,386.13
2023-10-20-00:00:07,361.09
2023-10-20-00:00:07,361.09
2023-10-20-00:00:08,366.54
2023-10-20-00:00:09,363.04
2023-10-20-00:00:10,366.24
2023-10-20-00:00:11,363.96
2023-10-20-00:00:12,359.48
2023-10-20-00:00:14,372.85
2023-10-20-00:00:14,374.27
2023-10-20-00:00:15,380.88
2023-10-20-00:00:16,379.8
2023-10-20-00:00:17,379.03
2023-10-20-00:00:18,367.06
2023-10-20-00:00:22,395.17
2023-10-20-00:00:22,395.17
2023-10-20-00:00:23,382.85
2023-10-20-00:00:25,378.74
2023-10-20-00:00:26,378.74
2023-10-20-00:00:28,377.99
2023-10-20-00:00:28,389.6
2023-10-20-00:00:29,378.24
2023-10-20-00:00:30,379.56
2023-10-20-00:00:31,378.61
2023-10-20-00:00:32,381.93
2023-10-20-00:00:33,384.01
2023-10-20-00:00:34,379.68
2023-10-20-00:00:36,380.68
2023-10-20-00:00:36,381.22
2023-10-20-00:00:38,375.53
2023-10-20-00:00:38,378.1
2023-10-20-00:00:41,375.6
2023-10-20-00:00:41,375.6
2023-10-20-00:00:42,382.44
2023-10-20-00:00:43,384.44
2023-10-20-00:00:44,379.55
2023-10-20-00:00:45,376.05
2023-10-20-00:00:46,371.76
2023-10-20-00:00:47,376.69
2023-10-20-00:00:48,377.3
2023-10-20-00:00:51,379.53
2023-10-20-00:00:52,383.43
2023-10-20-00:00:53,378.88
2023-10-20-00:00:54,379.48
2023-10-20-00:00:55,401.25
2023-10-20-00:00:56,380.52
2023-10-20-00:00:57,376.52
2023-10-20-00:00:58,374.5
2023-10-20-00:00:59,376.41
2023-10-20-00:01:00,375.17
2023-10-20-00:01:01,375.22
2023-10-20-00:01:02,375.88
2023-10-20-00:01:04,377.87
2023-10-20-00:01:05,377.95
2023-10-20-00:01:06,377.58
2023-10-20-00:01:07,370.61
2023-10-20-00:01:08,374.43
2023-10-20-00:01:09,374.46
2023-10-20-00:01:10,375.53
2023-10-20-00:01:11,369
2023-10-20-00:01:12,387.18
2023-10-20-00:01:13,375.78
2023-10-20-00:01:14,375.6
2023-10-20-00:01:15,375.59
2023-10-20-00:01:16,381.97
2023-10-20-00:01:17,374.88
2023-10-20-00:01:18,377.58
2023-10-20-00:01:19,381.18
2023-10-20-00:01:21,370.08
2023-10-20-00:01:21,388.59
2023-10-20-00:01:22,377.46
2023-10-20-00:01:23,379.67
2023-10-20-00:01:24,378.8
2023-10-20-00:01:25,372.32
2023-10-20-00:01:26,380.77
2023-10-20-00:01:27,379.99
2023-10-20-00:01:28,379.15
2023-10-20-00:01:29,379.28
2023-10-20-00:01:30,374.89
2023-10-20-00:01:31,376.08
2023-10-20-00:01:32,374.94
2023-10-20-00:01:33,382.48
2023-10-20-00:01:34,375.99
2023-10-20-00:01:36,370.12
2023-10-20-00:01:37,368.16
2023-10-20-00:01:38,373.96
