2023-10-09-23:59:08,718.35
2023-10-09-23:59:09,717.52
2023-10-09-23:59:16,708.31
2023-10-09-23:59:17,710.01
2023-10-09-23:59:18,709.7
2023-10-09-23:59:19,708.71
2023-10-09-23:59:19,707.96
2023-10-09-23:59:20,706.42
2023-10-09-23:59:21,718.37
2023-10-09-23:59:22,713.74
2023-10-09-23:59:23,721.0
2023-10-09-23:59:24,713.01
2023-10-09-23:59:25,725.14
2023-10-09-23:59:26,711.18
2023-10-09-23:59:27,715.08
2023-10-09-23:59:28,711.22
2023-10-09-23:59:29,725.0
2023-10-09-23:59:30,713.9
2023-10-09-23:59:31,713.34
2023-10-09-23:59:32,722.32
2023-10-09-23:59:33,714.79
2023-10-09-23:59:34,715.27
2023-10-09-23:59:35,713.67
2023-10-09-23:59:36,719.87
2023-10-09-23:59:37,722.05
2023-10-09-23:59:38,730.44
2023-10-09-23:59:39,722.03
2023-10-09-23:59:39,716.62
2023-10-09-23:59:40,715.73
2023-10-09-23:59:41,720.62
2023-10-09-23:59:42,718.48
2023-10-09-23:59:43,714.35
2023-10-09-23:59:44,719.59
2023-10-09-23:59:45,715.21
2023-10-09-23:59:46,716.54
2023-10-09-23:59:47,729.2
2023-10-09-23:59:48,706.77
2023-10-09-23:59:49,706.63
2023-10-09-23:59:50,719.78
2023-10-09-23:59:51,709.3
2023-10-09-23:59:52,709.61
2023-10-09-23:59:53,705.75
2023-10-09-23:59:54,713.85
2023-10-09-23:59:55,726.21
2023-10-09-23:59:56,722.48
2023-10-09-23:59:57,711.35
2023-10-09-23:59:58,717.78
2023-10-09-23:59:59,728.95
2023-10-09-23:59:59,720.71
2023-10-10-00:00:00,729.31
2023-10-10-00:00:01,727.29
2023-10-10-00:00:02,730.78
2023-10-10-00:00:03,716.33
2023-10-10-00:00:04,728.63
2023-10-10-00:00:05,718.76
2023-10-10-00:00:06,724.6
2023-10-10-00:00:07,721.66
2023-10-10-00:00:08,721.46
2023-10-10-00:00:09,719.47
2023-10-10-00:00:10,723.09
2023-10-10-00:00:11,724.78
2023-10-10-00:00:12,719.58
2023-10-10-00:00:13,725.18
2023-10-10-00:00:14,716.07
2023-10-10-00:00:15,709.95
2023-10-10-00:00:16,704.07
2023-10-10-00:00:17,738.55
2023-10-10-00:00:18,708.08
2023-10-10-00:00:19,718.85
2023-10-10-00:00:19,718.63
2023-10-10-00:00:20,712.82
2023-10-10-00:00:21,722.76
2023-10-10-00:00:22,702.8
2023-10-10-00:00:23,702.39
