 Time,Values
Phase A,
16/10/2023 00:00,"8305.2"
17/10/2023 00:00,"8076.8099999999995"
18/10/2023 00:00,"8372.470000000001"
19/10/2023 00:00,"8154.56"
20/10/2023 00:00,"9536.909999999998"
21/10/2023 00:00,"7246.889999999999"
22/10/2023 00:00,"8794.799999999997"
Phase B,
16/10/2023 00:00,"14666.24"
17/10/2023 00:00,"14469.729999999996"
18/10/2023 00:00,"16932.46"
19/10/2023 00:00,"13330.150000000001"
20/10/2023 00:00,"14970.169999999996"
21/10/2023 00:00,"11441.34"
22/10/2023 00:00,"13071.64"
Phase C,
16/10/2023 00:00,"0"
17/10/2023 00:00,"0"
18/10/2023 00:00,"0"
19/10/2023 00:00,"0"
20/10/2023 00:00,"0"
21/10/2023 00:00,"0"
22/10/2023 00:00,"0"
Total,
16/10/2023 00:00,"22971.440000000002"
17/10/2023 00:00,"22546.539999999994"
18/10/2023 00:00,"25304.93"
19/10/2023 00:00,"21484.710000000003"
20/10/2023 00:00,"24507.079999999994"
21/10/2023 00:00,"18688.23"
22/10/2023 00:00,"21866.439999999995"
Phase A Returned,
16/10/2023 00:00,"0"
17/10/2023 00:00,"0"
18/10/2023 00:00,"0"
19/10/2023 00:00,"0"
20/10/2023 00:00,"0"
21/10/2023 00:00,"0"
22/10/2023 00:00,"0"
Phase B Returned,
16/10/2023 00:00,"0"
17/10/2023 00:00,"0"
18/10/2023 00:00,"0"
19/10/2023 00:00,"0"
20/10/2023 00:00,"0"
21/10/2023 00:00,"0"
22/10/2023 00:00,"0"
Phase C Returned,
16/10/2023 00:00,"0"
17/10/2023 00:00,"0"
18/10/2023 00:00,"0"
19/10/2023 00:00,"0"
20/10/2023 00:00,"0"
21/10/2023 00:00,"0"
22/10/2023 00:00,"0"
Total Returned,
16/10/2023 00:00,"0"
17/10/2023 00:00,"0"
18/10/2023 00:00,"0"
19/10/2023 00:00,"0"
20/10/2023 00:00,"0"
21/10/2023 00:00,"0"
22/10/2023 00:00,"0"
